gen,k1,k2,f,w,paramsMuted
554621,10000214.3988,100000132.338,76.918956416,0.999407734431,f k1
555035,10000220.935,100000132.338,89.7910647162,0.99931609852,f k1
556620,10000220.935,100000111.845,82.9066712571,0.999364081933,f k2
560960,10000251.9432,100000136.158,58.3286803923,0.99955637292,f k1 k2
568363,10000267.2255,100000136.158,58.3286803923,0.999556372164,k1
569612,10000252.7618,100000146.047,49.5272874442,0.999634714326,f k1 k2
574876,10000252.7618,100000146.047,16.8186649784,0.99996217334,f
575229,10000252.7618,100000146.047,4.97471699343,0.999936357018,f
576369,10000256.4174,100000154.148,4.97471699343,0.999936357094,k1 k2
577179,10000288.3453,100000177.029,25.0471286414,0.999880623882,f k1 k2
578949,10000272.2515,100000193.547,31.9718022864,0.999807844627,f k1 k2
582584,10000272.2515,100000161.426,22.1083314749,0.999911147803,f k2
586365,10000255.3263,100000163.056,15.6214847999,0.999972232455,f k1 k2
594921,10000255.3263,100000163.056,19.127393691,0.999940880731,f
603040,10000261.4907,100000163.056,19.127393691,0.999940880619,k1
607626,10000256.3832,100000163.056,14.6417499494,0.99997976327,f k1
617624,10000256.3832,100000163.056,3.0996602091,0.999827759514,f
620725,10000240.7449,100000131.008,3.0996602091,0.999827759007,k1 k2
623256,10000248.78,100000147.709,1.65226971369,0.9996168399,f k1 k2
626652,10000230.9222,100000129.664,20.2806734258,0.999929597915,f k1 k2
629973,10000210.6245,100000129.664,20.2806734258,0.999929598318,k1
633043,10000175.8382,100000129.664,25.9296246616,0.999871354557,f k1
635126,10000184.6048,100000119.291,36.5289380086,0.999760871422,f k1 k2
637859,10000152.812,100000072.696,57.2834709424,0.999565393012,f k1 k2
637944,10000149.4107,100000101.028,40.6969078236,0.999719070414,f k1 k2
639209,10000159.0424,100000101.028,95.6817883949,0.999276769495,f k1
641342,10000180.617,100000101.028,95.6817883949,0.999276768157,k1
650229,10000181.7718,100000085.196,95.6817883949,0.999276768174,k1 k2
650372,10000181.7718,100000123.802,95.6817883949,0.999276767958,k2
652196,10000181.7718,100000114.877,114.431212149,0.999160848224,f k2
657724,10000194.8827,100000126.577,118.390123378,0.999137975805,f k1 k2
666238,10000180.5558,100000118.674,92.3314779261,0.999298951324,f k1 k2
666254,10000168.1969,100000118.674,97.2756674806,0.999266383112,f k1
